Run,Iteration,Ratio,N_Variables,Accuracy,Kappa,Macro_F1
0,1,1.0,204,0.6381440033783784,0.5862080687143849,0.45357687045786865
0,2,0.954357540733128,204,0.6281144425675675,0.5746542768549865,0.42465340179305716
0,3,0.9107983155541839,194,0.6417863175675675,0.5904280401548536,0.4598708205507608
0,4,0.8692272405361663,185,0.6384079391891891,0.5864754979648545,0.45352607397275724
0,5,0.8295535716163387,177,0.6388302364864865,0.5870051620065958,0.44697592014935217
0,6,0.7916907065141517,169,0.6367715371621622,0.5845531269730682,0.4514062990860274
0,7,0.7555559956901182,161,0.6319679054054054,0.5788855029592845,0.43825147815347515
0,8,0.721070561932991,154,0.6314928209459459,0.5783765032432727,0.4404059483659184
0,9,0.6881591281814239,147,0.6263724662162162,0.5722101425193451,0.4386064036771592
0,10,0.656749853204277,140,0.6253695101351351,0.5712261314615924,0.43303684241176404
0,11,0.6267741747808766,133,0.6309121621621622,0.5776616387348956,0.4425130324012433
0,12,0.5981666600389132,127,0.6321262668918919,0.5790621757793266,0.4420873130317215
0,13,0.5708648626232861,122,0.6266891891891891,0.5725595370560759,0.43831326646720425
0,14,0.5448091863841141,116,0.6255278716216216,0.5712231674675856,0.43753389256645214
0,15,0.5199427552863595,111,0.6253695101351351,0.5710467542194684,0.4381416598451749
0,16,0.4962112892570966,106,0.6253695101351351,0.5712408460411011,0.43322397124764844
0,17,0.4735629856994175,101,0.6254750844594594,0.5711464700283082,0.43492845707899574
0,18,0.45194840641433354,96,0.6206186655405406,0.5653490756785684,0.43039416917046575
0,19,0.43132036968383947,92,0.6188766891891891,0.5634670803760043,0.4274550972239603
0,20,0.41163384727957264,87,0.6091110641891891,0.5520464321526517,0.4158888966946167
0,21,0.3928458661722489,83,0.6165540540540541,0.5607730421902193,0.4240038760981245
0,22,0.3749154147273229,80,0.6109058277027027,0.5541223278228293,0.41559472840239753
0,23,0.35780335318210865,76,0.6138091216216216,0.5574988292553366,0.42272178569105867
0,24,0.341472328208944,72,0.6076330236486487,0.5504867327032107,0.414253920935838
0,25,0.3258866913779032,69,0.6092166385135135,0.552247926419289,0.41655900074263363
0,26,0.3110124213410716,66,0.6026710304054054,0.544431779928475,0.4059556099950944
0,27,0.29681704956852045,63,0.6036739864864865,0.5456355141539669,0.41063528087372003
0,28,0.28326958947387604,60,0.6010346283783784,0.5425077509553701,0.4078969384381041
0,29,0.27034046877477114,57,0.5992398648648649,0.5404471173122392,0.4034673257782473
0,30,0.2580014649405315,55,0.6049936655405406,0.5472553006819163,0.41035786284483233
0,31,0.24622564358619,52,0.6004539695945946,0.5419172578508817,0.4058079727193701
0,32,0.23498729967834794,50,0.5929581925675675,0.5330841507639993,0.3906692865790037
0,33,0.22426190142454666,47,0.5876794763513513,0.5270993387083807,0.3881653531737741
0,34,0.21402603672366552,45,0.5915857263513513,0.5313105637803326,0.3866018828113429
0,35,0.20425736206045553,43,0.5876266891891891,0.5270075035218462,0.3839898890515923
0,36,0.19493455373265248,41,0.5809755067567568,0.5187515877336237,0.3701347545102554
0,37,0.18603726130420398,39,0.5822951858108109,0.5200626849177684,0.37394411812065953
0,38,0.17754606318300636,37,0.5806587837837838,0.5184914462726067,0.37452678708609205
0,39,0.16944242422618255,36,0.5768581081081081,0.5139479292585984,0.3685711988716389
0,40,0.1617086552803589,34,0.5891047297297297,0.5281858701243728,0.3778608967067766
0,41,0.15432787456862446,32,0.5807643581081081,0.5183488973763652,0.3770037074427566
0,42,0.14728397083988307,31,0.5813978040540541,0.519158302718359,0.372959680939282
0,43,0.14056156820016055,30,0.5751161317567568,0.5120513919616297,0.3673811286910979
0,44,0.13414599254909704,28,0.5783361486486487,0.5157631569987408,0.3691622267114488
0,45,0.12802323954836076,27,0.5716849662162162,0.5079523441281935,0.36111398505792125
0,46,0.1221799440520617,26,0.5787056587837838,0.5157355670045406,0.3685755842380748
0,47,0.11660335093243673,24,0.5834037162162162,0.5214265779182237,0.3803412339026387
