Class,Class_Name,Precision,Recall,F1_Score,Support
1,Brocoli_green_weeds_1,0.9794520547945206,0.47429519071310117,0.6391061452513966,603
2,Brocoli_green_weeds_2,0.6606822262118492,0.9874776386404294,0.7916816063105055,1118
3,Fallow,0.0,0.0,0.0,593
4,Fallow_rough_plow,0.9605911330049262,0.9330143540669856,0.9466019417475728,418
5,Fallow_smooth,0.8787878787878788,0.975093399750934,0.9244391971664699,803
6,Stubble,0.9891395154553049,0.9966329966329966,0.9928721174004193,1188
7,Celery,0.924006908462867,0.9962756052141527,0.9587813620071685,1074
8,Grapes_untrained,0.6032240337058069,0.973972197574682,0.7450226244343892,3381
9,Soil_vinyard_develop,0.6128500823723229,0.999462654486835,0.7598039215686274,1861
10,Corn_senesced_green_weeds,0.8575031525851198,0.6917599186164801,0.7657657657657657,983
11,Lettuce_romaine_4wk,0.9423728813559322,0.86875,0.9040650406504065,320
12,Lettuce_romaine_5wk,0.42950108459869846,0.34256055363321797,0.3811357074109721,578
13,Lettuce_romaine_6wk,0.4827586206896552,0.05090909090909091,0.09210526315789473,275
14,Lettuce_romaine_7wk,0.0,0.0,0.0,321
15,Vinyard_untrained,0.3333333333333333,0.0032095369096744614,0.006357856494096276,2181
16,Vinyard_vertical_trellis,0.9792843691148776,0.959409594095941,0.9692451071761417,542
